in update mr0: q=0.21, mr0=0.93, mult0=0.06, mr1=0.0273, mult1=0.0057, spec_accs_cnt=18000, reg_accs_cnt=7701
in update mr0: q=0.18, mr0=0.94, mult0=0.05, mr1=0.0273, mult1=0.0049, spec_accs_cnt=19000, reg_accs_cnt=7851
in update mr1: q=0.18, mr0=0.94, mult0=0.05, mr1=0.0350, mult1=0.0062, spec_accs_cnt=19508, reg_accs_cnt=8000
in update mr0: q=0.18, mr0=0.93, mult0=0.05, mr1=0.0350, mult1=0.0062, spec_accs_cnt=20000, reg_accs_cnt=8121
in update mr0: q=0.19, mr0=0.93, mult0=0.05, mr1=0.0350, mult1=0.0066, spec_accs_cnt=21000, reg_accs_cnt=8497
in update mr0: q=0.20, mr0=0.93, mult0=0.06, mr1=0.0350, mult1=0.0071, spec_accs_cnt=22000, reg_accs_cnt=8906
in update mr1: q=0.20, mr0=0.93, mult0=0.06, mr1=0.0562, mult1=0.0114, spec_accs_cnt=22281, reg_accs_cnt=9000
in update mr0: q=0.21, mr0=0.93, mult0=0.06, mr1=0.0562, mult1=0.0118, spec_accs_cnt=23000, reg_accs_cnt=9324
in update mr0: q=0.20, mr0=0.91, mult0=0.07, mr1=0.0562, mult1=0.0113, spec_accs_cnt=24000, reg_accs_cnt=9586
in update mr0: q=0.20, mr0=0.89, mult0=0.09, mr1=0.0562, mult1=0.0111, spec_accs_cnt=25000, reg_accs_cnt=9844
in update mr1: q=0.19, mr0=0.89, mult0=0.09, mr1=0.0849, mult1=0.0163, spec_accs_cnt=25751, reg_accs_cnt=10000
in update mr0: q=0.19, mr0=0.89, mult0=0.09, mr1=0.0849, mult1=0.0157, spec_accs_cnt=26000, reg_accs_cnt=10071
in update mr0: q=0.20, mr0=0.90, mult0=0.08, mr1=0.0849, mult1=0.0169, spec_accs_cnt=27000, reg_accs_cnt=10313
in update mr0: q=0.19, mr0=0.91, mult0=0.08, mr1=0.0849, mult1=0.0160, spec_accs_cnt=28000, reg_accs_cnt=10564
in update mr0: q=0.19, mr0=0.91, mult0=0.07, mr1=0.0849, mult1=0.0165, spec_accs_cnt=29000, reg_accs_cnt=10857
in update mr1: q=0.20, mr0=0.91, mult0=0.07, mr1=0.0792, mult1=0.0162, spec_accs_cnt=29369, reg_accs_cnt=11000
in update mr0: q=0.22, mr0=0.92, mult0=0.06, mr1=0.0792, mult1=0.0172, spec_accs_cnt=30000, reg_accs_cnt=11191
in update mr0: q=0.21, mr0=0.92, mult0=0.06, mr1=0.0792, mult1=0.0167, spec_accs_cnt=31000, reg_accs_cnt=11477
in update mr0: q=0.22, mr0=0.93, mult0=0.05, mr1=0.0792, mult1=0.0178, spec_accs_cnt=32000, reg_accs_cnt=11796
in update mr0: q=0.21, mr0=0.91, mult0=0.07, mr1=0.0792, mult1=0.0166, spec_accs_cnt=33000, reg_accs_cnt=11987
in update mr1: q=0.21, mr0=0.91, mult0=0.07, mr1=0.0689, mult1=0.0144, spec_accs_cnt=33118, reg_accs_cnt=12000
